GDP,Research and Development,Energy Consumption,Employment,Unemployment,Migration,Population
1.90846E+11,0.93064,1.047780769,55.33713067,8.528130511,54817.8,10392623.3
21469736429,0.041897391,0.4105,65.55304353,6.356130393,-75428.8,5967005.217
806151277.8,0,0.012750769,50.00678253,12.23352167,-1080.2,257337.1304
91661839414,0.04296913,0.697574615,81.65386963,0.849695659,377344.4,1446612.087
1.26909E+11,0.415871739,1.732739231,53.50430447,6.551695658,-460570.4,20987391.83
4656656459,0,0.011993846,84.22299957,0.904173913,186866.4,9360414.304
4.32602E+11,0.167029565,5.496284615,48.84843478,5.447521749,711000,25672654.74
45626600006,0.120822174,0.13019,41.52200019,14.83578255,-619307.4,32642804.96
13300979634,0.07223087,0.069684615,45.69986924,7.618130414,-145407.6,11949799.87
1.94347E+11,1.65385913,1.753998462,63.24908696,4.255434793,355292.6,4691029.087
724540618.4,0,0.002656154,70.39273901,2.170347805,-8267.8,498972.7391
2369225656,0,0.014679231,59.74991309,3.856999978,73600,5891915
17056825052,0.044161304,0.11591,57.27100007,5.778260894,-273683.8,6090620.174
1789747733,0,0.0098,39.89152228,14.66804347,-179537.4,11153142.91
33399527135,0.648477391,0.169103846,45.12626101,16.72317389,-207723.4,7341887.087
173054286.1,0,0.001423846,49.30647775,14.64504333,-6017.8,168713
2730053461,0,0.033604615,46.59043486,9.178521778,-7159.4,511816.7391
38259788783,1.567171304,0.305063077,54.19578254,6.949173948,15681.2,2023339.913
4.20053E+11,2.49861913,2.289669231,58.70378279,7.26699995,183320.8,9279276.609
966359609.1,0.091932174,0.010688462,0,0,-666.8,86024.86957
555888416.5,0,0.000335385,0,0,0,28568.91304
7189017585,0.014007391,0.002940769,70.61621724,1.553826081,94682,11000183.13
2949760205,0.032556087,0.024897692,77.91082664,1.928260871,8001.8,6007131.087
2.71213E+11,0.237016522,3.084321538,71.24843432,1.289043487,278618.8,65705737.78
4218083100,0.070048261,0.253986154,37.4695219,12.61634777,-130105.4,7215773.13
18456650815,0,0.607220769,59.45913049,6.913173914,-65655.4,4962965
313738901.3,0,0.001976154,58.44513039,2.105260867,-7587.4,100667.2174
17323367119,0.079514783,0.558659231,60.21056499,3.276043477,-13301,1314026
34688363598,0.433085217,0.313506154,39.80891253,14.79604335,-58950.6,10365331.48
5.7281E+11,0.545787826,3.394051538,44.50204319,9.310826094,592435.6,70105664.17
27737126122,0.054323043,0.075661538,83.65552189,2.91430436,-233428.2,41644325
14831321016,0.135371304,0.03545,68.73004316,2.564739118,-97147.4,30276308.52
97698033445,0.792483043,6.052222308,50.6153047,8.833304426,-131633.6,47089263.83
33722700120,0.239480435,0.158183846,57.55899977,9.993739087,-45000,3348738.913
1.38781E+13,2.400565217,98.18551154,60.66521736,5.791347898,5570460.2,300259175.3
33898638319,0.183568261,2.069954615,59.05239138,7.484826046,-147169.2,27536295.65
1.01297E+11,0.052082174,0.96085,75.16191333,1.940304334,-433203.6,85681451.87
532041360.2,0,0.001222308,65.99352132,6.021434805,-1049.2,223987.087
542087229.7,0,0.002548462,30.95634776,5.960478275,-14717.4,182932.6087
2.60746E+11,0.510456087,4.849283077,39.53073883,27.65847845,528700,49580727.78
14146164948,0.01555087,0.111173077,68.89043427,11.21817394,-42420.6,12838996.52
11670791285,0,0.193953846,77.67591327,5.258739119,-243999.2,12612421.09
